indicator,location,value
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Ekiti,54
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Enugu,32.8
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,FCT,7.6
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Gombe,17.1
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Imo,33.9
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Jigawa,50.8
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Kaduna,45.7
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Kano,19.1
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Kebbi,29.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Lagos,63.5
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Nasarawa,34.1
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Niger,27.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Ogun,29.2
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Ondo,14.5
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Osun,37.1
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Oyo,23.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Plateau,22.7
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Rivers,30.7
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Sokoto,43.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Taraba,30.9
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Yobe,14
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Zamfara,6.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Nigeria,50
Percentage of health facilities offering STI services that had ceftriaxone injection,North-Central,34.5
Percentage of health facilities offering STI services that had ceftriaxone injection,North-East,5.3
Percentage of health facilities offering STI services that had ceftriaxone injection,North-West,47.5
Percentage of health facilities offering STI services that had ceftriaxone injection,South-East,43.1
Percentage of health facilities offering STI services that had ceftriaxone injection,South-South,8.9
Percentage of health facilities offering STI services that had ceftriaxone injection,South-West,15.2
Percentage of health facilities offering STI services that had ceftriaxone injection,Abia,26.2
Percentage of health facilities offering STI services that had ceftriaxone injection,Adamawa,20.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Akwa Ibom,5.9
Percentage of health facilities offering STI services that had ceftriaxone injection,Anambra,22.4
Percentage of health facilities offering STI services that had ceftriaxone injection,Bauchi,14.7
Percentage of health facilities offering STI services that had ceftriaxone injection,Bayelsa,3.6
Percentage of health facilities offering STI services that had ceftriaxone injection,Benue,20.7
Percentage of health facilities offering STI services that had ceftriaxone injection,Borno,19.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Cross River,30.3
Percentage of health facilities offering STI services that had ceftriaxone injection,Delta,21.5
Percentage of health facilities offering STI services that had ceftriaxone injection,Ebonyi,29.2
Percentage of health facilities offering STI services that had ceftriaxone injection,Edo,15.1
Percentage of health facilities offering STI services that had ceftriaxone injection,Ekiti,59
Percentage of health facilities offering STI services that had ceftriaxone injection,Enugu,58.1
Percentage of health facilities offering STI services that had ceftriaxone injection,FCT,32.5
Percentage of health facilities offering STI services that had ceftriaxone injection,Gombe,2.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Imo,12.2
Percentage of health facilities offering STI services that had ceftriaxone injection,Jigawa,19.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Kaduna,41.5
Percentage of health facilities offering STI services that had ceftriaxone injection,Kano,37.7
Percentage of health facilities offering STI services that had ceftriaxone injection,Katsina,12.4
Percentage of health facilities offering STI services that had ceftriaxone injection,Kebbi,19.6
Percentage of health facilities offering STI services that had ceftriaxone injection,Lagos,34
Percentage of health facilities offering STI services that had ceftriaxone injection,Nasarawa,24.2
Percentage of health facilities offering STI services that had ceftriaxone injection,Niger,27.4
Percentage of health facilities offering STI services that had ceftriaxone injection,Ogun,30.5
Percentage of health facilities offering STI services that had ceftriaxone injection,Ondo,17.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Osun,51.6
Percentage of health facilities offering STI services that had ceftriaxone injection,Oyo,14.1
Percentage of health facilities offering STI services that had ceftriaxone injection,Plateau,12.9
Percentage of health facilities offering STI services that had ceftriaxone injection,Rivers,16.5
Percentage of health facilities offering STI services that had ceftriaxone injection,Sokoto,24.8
Percentage of health facilities offering STI services that had ceftriaxone injection,Taraba,3.7
Percentage of health facilities offering STI services that had ceftriaxone injection,Yobe,11
Percentage of health facilities offering STI services that had ceftriaxone injection,Zamfara,17.8
Percentage of health facilities offering TB Services,Nigeria,5.6
Percentage of health facilities offering TB Services,North-Central,27.9
Percentage of health facilities offering TB Services,North-East,7.4
Percentage of health facilities offering TB Services,South-East,23
Percentage of health facilities offering TB Services,South-South,1.4
Percentage of health facilities offering TB Services,South-West,25.4
Percentage of health facilities offering TB Services,Abia,21.7
Percentage of health facilities offering TB Services,Adamawa,15.1
Percentage of health facilities offering TB Services,Akwa Ibom,6.7
Percentage of health facilities offering TB Services,Anambra,8.8
Percentage of health facilities offering TB Services,Bauchi,9.2
Percentage of health facilities offering TB Services,Borno,9.9
Percentage of health facilities offering TB Services,Cross River,8.8
Percentage of health facilities offering TB Services,Delta,13.4
Percentage of health facilities offering TB Services,Ebonyi,30.9
Percentage of health facilities offering TB Services,Edo,6.8
Percentage of health facilities offering TB Services,Ekiti,48.5
Percentage of health facilities offering TB Services,Enugu,25
Percentage of health facilities offering TB Services,FCT,12.2
Percentage of health facilities offering TB Services,Gombe,2.6
Percentage of health facilities offering TB Services,Imo,1.8
Percentage of health facilities offering TB Services,Jigawa,51.2
Percentage of health facilities offering TB Services,Kaduna,9.9
Percentage of health facilities offering TB Services,Kano,27.4
Percentage of health facilities offering TB Services,Katsina,18.3
Percentage of health facilities offering TB Services,Kebbi,34.7
Percentage of health facilities offering TB Services,Kogi,4.2
Percentage of health facilities offering TB Services,Lagos,17.6
Percentage of health facilities offering TB Services,Nasarawa,23.2
Percentage of health facilities offering TB Services,Niger,18.2
Percentage of health facilities offering TB Services,Ogun,9.5
Percentage of health facilities offering TB Services,Ondo,7.2
Percentage of health facilities offering TB Services,Osun,15.5
Percentage of health facilities offering TB Services,Oyo,1
Percentage of health facilities offering TB Services,Sokoto,13.9
Percentage of health facilities offering TB Services,Taraba,3.6
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Nigeria,26.9
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,South-East,4.8
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,South-South,13.2
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,South-West,3.2
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Anambra,12.1
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Delta,2.5
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Ebonyi,38
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Ekiti,1.2
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,FCT,2.2
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Kaduna,6.2
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Kano,5.4
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Niger,33.1
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Osun,10
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Oyo,11.5
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Plateau,12.7
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Rivers,4.8
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Sokoto,24
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Taraba,5.5
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Yobe,11
Percentage of health facilities offering TB services that had the national guidelines for TB infection control,Zamfara,7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Nigeria,26.9
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,South-East,18.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,South-South,3.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Abia,12.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Adamawa,15
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Akwa Ibom,7.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Anambra,18.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Bauchi,15.9
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Bayelsa,8.7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Cross River,3.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Ebonyi,47.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Ekiti,16.8
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Enugu,4.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,FCT,15.9
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Gombe,1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Kaduna,42.6
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Kano,35.8
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Katsina,16
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Kebbi,20.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Kogi,4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Lagos,37.5
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Nasarawa,16.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Niger,30.6
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Osun,19.7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Oyo,35.9
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Plateau,47.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Rivers,39.7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Sokoto,42.4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Taraba,31.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Yobe,26.6
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Children,Zamfara,23.9
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Nigeria,57.2
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,North-Central,26
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,North-East,12.1
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,North-West,37.1
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,South-East,33
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,South-South,64.8
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,South-West,11.5
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Adamawa,42.2
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Akwa Ibom,5.9
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Anambra,30.1
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Bauchi,12.9
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Benue,51.5
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Borno,36.2
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Cross River,49.3
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Delta,23.3
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Ebonyi,25.2
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Edo,29.9
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Enugu,44.8
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,FCT,12.1
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Gombe,57.8
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Imo,17
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Jigawa,60.7
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Kano,64
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Katsina,22.5
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Kebbi,27.5
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Kogi,3.9
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Kwara,23
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Lagos,11.3
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Nasarawa,35.3
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Niger,32.6
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Ogun,56.1
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Ondo,41.7
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Osun,49
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Oyo,43.7
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Plateau,47.2
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Rivers,50.4
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Sokoto,47.5
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Taraba,49.5
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Yobe,38.1
Percentage of health facilities offering TB services that had a Laboratory Staff Trained in Reading TB Sputum Slides,Zamfara,33.1
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Nigeria,57.2
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),North-Central,53.6
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),North-East,24.8
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),North-West,58.4
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),South-East,43
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),South-South,59
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),South-West,11.5
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Adamawa,51.6
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Akwa Ibom,5.9
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Anambra,42.3
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Bauchi,18.7
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Bayelsa,38
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Benue,51.5
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Borno,55.1
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Cross River,23.3
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Delta,25
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Ebonyi,62.2
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Edo,54.1
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Enugu,18.5
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),FCT,57.8
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Gombe,9.4
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Jigawa,65.3
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Kano,64
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Katsina,22.5
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Kebbi,60.2
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Kogi,40.1
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Kwara,23
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Lagos,11.3
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Nasarawa,48.5
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Niger,32.6
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Ogun,54.8
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Ondo,58.7
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Osun,50.7
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Oyo,56.3
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Plateau,51.3
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Rivers,47.2
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Sokoto,53.8
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Yobe,43.5
Percentage of health facilities Providing TB Services that had the Ability to Conduct TB Microscopy (On-site or Off-site),Zamfara,58.4
Percentage of health facilities offering TB services that had first-line TB drugs,Nigeria,23
Percentage of health facilities offering TB services that had first-line TB drugs,North-Central,8.4
Percentage of health facilities offering TB services that had first-line TB drugs,South-East,4.9
Percentage of health facilities offering TB services that had first-line TB drugs,Akwa Ibom,15.4
Percentage of health facilities offering TB services that had first-line TB drugs,Ebonyi,19.1
Percentage of health facilities offering TB services that had first-line TB drugs,Kaduna,11.2
Percentage of health facilities offering TB services that had first-line TB drugs,Kano,1.5
Percentage of health facilities offering TB services that had first-line TB drugs,Kebbi,10.3
Percentage of health facilities offering TB services that had first-line TB drugs,Lagos,19
Percentage of health facilities offering TB services that had first-line TB drugs,Niger,5.1
Percentage of health facilities offering TB services that had first-line TB drugs,Oyo,64.6
Percentage of health facilities offering TB services that had first-line TB drugs,Plateau,59.9
Percentage of health facilities offering TB services that had first-line TB drugs,Rivers,66.6
Percentage of health facilities offering TB services that had first-line TB drugs,Sokoto,62.6
Percentage of health facilities offering TB services that had first-line TB drugs,Taraba,64.6
Percentage of health facilities offering TB services that had first-line TB drugs,Yobe,65.3
Percentage of health facilities offering TB services that had first-line TB drugs,Zamfara,50
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Nigeria,60.3
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,North-Central,51
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,North-East,64.8
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,North-West,61
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,South-South,60.2
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,South-West,33.1
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Bayelsa,58
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Benue,51
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Borno,65.9
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Edo,67.6
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Ekiti,48.3
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Kaduna,62.5
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Katsina,62.6
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Kebbi,55.6
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Kogi,48.4
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Kwara,65.6
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Lagos,46.3
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Niger,54.3
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Ondo,68
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Osun,66.6
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Plateau,65.1
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Rivers,64.7
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Sokoto,60
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Taraba,54.3
Percentage of health facilities that monitor for hypertensive disorder in pregnancy as part of routine ANC services,Zamfara,64.9
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Nigeria,57.2
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,North-Central,56.2
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,North-East,52.1
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,North-West,37.5
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Bayelsa,59.2
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Borno,60.7
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Delta,57.8
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Ekiti,52.6
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Gombe,59.3
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Kaduna,67.4
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Katsina,51.9
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Kebbi,47.5
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Kogi,62.4
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Kwara,25.1
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Niger,25.7
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Osun,16.5
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Oyo,38.4
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Rivers,15.8
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Taraba,22.7
Percentage of health facilities that provide intermittent preventive treatment in pregnancy (IPTp) for malaria as part of routine ANC services,Zamfara,24.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Nigeria,26.9
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,South-East,44.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,South-South,43
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,South-West,19.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Abia,15.8
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Adamawa,29.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Akwa Ibom,11
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Anambra,42.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Bauchi,20.7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Bayelsa,29.4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Benue,19.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Cross River,9.6
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Delta,2.5
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Ebonyi,61
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Ekiti,27.8
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,FCT,30.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Gombe,25
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Imo,8.7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Jigawa,28.4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Kaduna,65.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Kano,53.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Katsina,24.3
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Kebbi,32.6
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Kogi,4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Kwara,9.7
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Lagos,28.8
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Nasarawa,26
